timestamp,vehicle_id,packet_size,e2e_delay,service_time
1.1540002312,10.0.0.1,29,0.0000001012,0.180346
1.1540003112,10.0.0.2,29,0.0000001012,0.367159
1.1540003912,10.0.0.3,29,0.0000001012,0.0717771
1.3100018024,10.0.0.2,1011,0.0000008868,0.0652752
1.3230016488,10.0.0.2,915,0.00000081,0.161872
1.355001932,10.0.0.2,1092,0.0000009516,0.233166
1.4270016504,10.0.0.3,916,0.0000008108,0.0514693
1.434001828,10.0.0.2,1027,0.0000008996,0.0243367
1.5260019416,10.0.0.3,1098,0.0000009564,0.0569108
1.707001828,10.0.0.2,1027,0.0000008996,0.040573
1.7080017384,10.0.0.3,971,0.0000008548,0.399779
1.7540018968,10.0.0.1,1070,0.000000934,0.0673769
2.0950018552,10.0.0.2,1044,0.0000009132,0.020291
2.5230021624,10.0.0.1,1236,0.0000010668,0.0314059
2.6550018824,10.0.0.2,1061,0.0000009268,0.0856146
2.8000019864,10.0.0.3,1126,0.0000009788,0.0056915
2.926001948,10.0.0.2,1102,0.0000009596,0.0331501
3.0010018024,10.0.0.1,1011,0.0000008868,0.0967741
3.1950017688,10.0.0.2,990,0.00000087,0.0271465
3.4480017128,10.0.0.2,955,0.000000842,0.336577
3.448002852,10.0.0.2,1154,0.0000010012,0.0096286
3.7630016728,10.0.0.1,930,0.000000822,0.359041
3.8110013944,10.0.0.2,756,0.0000006828,0.129249
3.9060016984,10.0.0.3,946,0.0000008348,0.0665136
3.9950017384,10.0.0.1,971,0.0000008548,0.0324342
4.1330015,10.0.0.1,822,0.0000007356,0.0702941
4.1630018312,10.0.0.2,1029,0.0000009012,0.0621335
4.1930016792,10.0.0.3,934,0.0000008252,0.00172779
4.26100182,10.0.0.3,1022,0.0000008956,0.178821
4.5910017928,10.0.0.2,1005,0.000000882,0.0538744
4.6060017144,10.0.0.2,956,0.0000008428,0.150272
4.6380018104,10.0.0.1,1016,0.0000008908,0.113629
4.6690019592,10.0.0.1,1109,0.0000009652,0.0413487
5.2250018824,10.0.0.1,1061,0.0000009268,0.23588
5.5300017032,10.0.0.2,949,0.0000008372,0.0325212
5.5650020472,10.0.0.2,1164,0.0000010092,0.159013
5.8490019512,10.0.0.2,1104,0.0000009612,0.243539
6.2750017688,10.0.0.2,990,0.00000087,0.125372
6.4580019304,10.0.0.2,1091,0.0000009508,0.0716084
6.4690020168,10.0.0.3,1145,0.000000994,0.0422589
6.6900018296,10.0.0.2,1028,0.0000009004,0.478729
6.7340017768,10.0.0.3,995,0.000000874,0.084165
6.8740020072,10.0.0.2,1139,0.0000009892,0.482419
6.927001612,10.0.0.1,892,0.0000007916,0.565705
7.0070018008,10.0.0.1,1010,0.000000886,0.162443
7.0180017464,10.0.0.1,976,0.0000008588,0.131449
7.2150018344,10.0.0.3,1031,0.0000009028,0.129603
7.3230020904,10.0.0.1,1191,0.0000010308,0.0629808
7.50100182,10.0.0.3,1022,0.0000008956,0.00386527
7.5330017576,10.0.0.1,983,0.0000008644,0.0929581
7.613001772,10.0.0.2,992,0.0000008716,0.0404777
7.6240017256,10.0.0.2,963,0.0000008484,0.0148373
7.6350015672,10.0.0.2,864,0.0000007692,0.0969278
7.6550016648,10.0.0.2,925,0.000000818,0.145351
7.6810019496,10.0.0.3,1103,0.0000009604,0.00211059
7.6850019992,10.0.0.2,1134,0.0000009852,0.0756477
7.7370016104,10.0.0.1,891,0.0000007908,0.0627467
7.7480016664,10.0.0.1,926,0.0000008188,0.157503
7.8060020728,10.0.0.2,1180,0.000001022,0.0682167
7.9730018472,10.0.0.2,1039,0.0000009092,0.0204948
8.040001796,10.0.0.1,1007,0.0000008836,0.170184
8.2880020488,10.0.0.2,1165,0.00000101,0.0235479
8.3770015032,10.0.0.3,824,0.0000007372,0.0805581
8.5820019128,10.0.0.2,1080,0.000000942,0.0965843
8.79700182,10.0.0.1,1022,0.0000008956,0.209363
8.9480019048,10.0.0.1,1075,0.000000938,0.151326
8.948002656,10.0.0.1,904,0.0000009092,0.307253
9.0010020008,10.0.0.3,1135,0.000000986,0.178253
9.2220019112,10.0.0.2,1079,0.0000009412,0.0406194
9.3150015928,10.0.0.3,880,0.000000782,0.0218129
9.446001804,10.0.0.1,1012,0.0000008876,0.0706965
9.5030019736,10.0.0.1,1118,0.0000009724,0.272833
9.574001788,10.0.0.1,1002,0.0000008796,0.0135974
9.616001756,10.0.0.3,982,0.0000008636,0.186454
9.7320016552,10.0.0.1,919,0.0000008132,0.33315
9.7320025928,10.0.0.1,1010,0.000000886,0.037651
9.7760016456,10.0.0.2,913,0.0000008084,0.294951
9.7770019416,10.0.0.1,1098,0.0000009564,0.233523
9.8920018088,10.0.0.1,1015,0.00000089,0.0514864
10.0500018376,10.0.0.3,1033,0.0000009044,0.299623
10.165001812,10.0.0.2,1017,0.0000008916,0.40693
10.2320018248,10.0.0.3,1025,0.000000898,0.0710435
10.2760020056,10.0.0.3,1138,0.0000009884,0.00590556
10.4030017976,10.0.0.2,1008,0.0000008844,0.0331308
10.5500020344,10.0.0.3,1156,0.0000010028,0.233029
10.8700019992,10.0.0.1,1134,0.0000009852,0.124986
11.2520018952,10.0.0.3,1069,0.0000009332,0.447616
11.270001844,10.0.0.3,1037,0.0000009076,0.180911
11.3680018312,10.0.0.1,1029,0.0000009012,0.0589072
11.3730018424,10.0.0.1,1036,0.0000009068,0.0970398
11.4600015256,10.0.0.1,838,0.0000007484,0.201886
11.5460019816,10.0.0.2,1123,0.0000009764,0.32769
11.5930017864,10.0.0.3,1001,0.0000008788,0.200218
11.720001972,10.0.0.3,1117,0.0000009716,0.0473216
11.7600019816,10.0.0.3,1123,0.0000009764,0.0142819
11.7820017032,10.0.0.2,949,0.0000008372,0.0256371
11.7950018296,10.0.0.1,1028,0.0000009004,0.365373
11.9630021432,10.0.0.2,1224,0.0000010572,0.108357
12.0310018024,10.0.0.2,1011,0.0000008868,0.0202351
12.1280019464,10.0.0.1,1101,0.0000009588,0.115627
12.1770013656,10.0.0.2,738,0.0000006684,0.13077
12.1830020376,10.0.0.3,1158,0.0000010044,0.000523624
12.23100178,10.0.0.2,997,0.0000008756,0.321486
12.2780017432,10.0.0.2,974,0.0000008572,0.164269
12.284001756,10.0.0.3,982,0.0000008636,0.044399
12.3030017288,10.0.0.2,965,0.00000085,0.265194
12.3200020792,10.0.0.2,1184,0.0000010252,0.171063
12.4800019688,10.0.0.1,1115,0.00000097,0.139851
12.4850019016,10.0.0.1,1073,0.0000009364,0.141416
12.6500016232,10.0.0.3,899,0.0000007972,0.0284762
12.7340019128,10.0.0.2,1080,0.000000942,0.27629
12.7680019112,10.0.0.1,1079,0.0000009412,0.00657354
12.8030018008,10.0.0.1,1010,0.000000886,0.0326454
12.9080016744,10.0.0.1,931,0.0000008228,0.00352693
12.9430016648,10.0.0.1,925,0.000000818,0.265716
13.0150017096,10.0.0.2,953,0.0000008404,0.606423
13.0730019688,10.0.0.3,1115,0.00000097,0.147398
